,V1
2000-01-01,7204.0
2000-02-01,7335.0
2000-03-01,7812.0
2000-04-01,7413.0
2000-05-01,9136.0
2000-06-01,8725.0
2000-07-01,8751.0
2000-08-01,9609.0
2000-09-01,8601.0
2000-10-01,8930.0
2000-11-01,8835.0
2000-12-01,11688.0
2001-01-01,8078.0
2001-02-01,7892.0
2001-03-01,8151.0
2001-04-01,8738.0
2001-05-01,9416.0
2001-06-01,9533.0
2001-07-01,9943.0
2001-08-01,10859.0
2001-09-01,8789.0
2001-10-01,9960.0
2001-11-01,9619.0
2001-12-01,12900.0
2002-01-01,8620.0
2002-02-01,8401.0
2002-03-01,8546.0
2002-04-01,10004.0
2002-05-01,10675.0
2002-06-01,10115.0
2002-07-01,11206.0
2002-08-01,11555.0
2002-09-01,10453.0
2002-10-01,10421.0
2002-11-01,9950.0
2002-12-01,13975.0
2003-01-01,9315.0
2003-02-01,9366.0
2003-03-01,9910.0
2003-04-01,10302.0
2003-05-01,11371.0
2003-06-01,11857.0
2003-07-01,12387.0
2003-08-01,12421.0
2003-09-01,12073.0
2003-10-01,11963.0
2003-11-01,10666.0
2003-12-01,15613.0
2004-01-01,10586.0
2004-02-01,10558.0
2004-03-01,12064.0
2004-04-01,11899.0
2004-05-01,12077.0
2004-06-01,13918.0
2004-07-01,13611.0
2004-08-01,14132.0
2004-09-01,13509.0
2004-10-01,13152.0
2004-11-01,13993.0
2004-12-01,18203.0
2005-01-01,14262.0
2005-02-01,13024.0
2005-03-01,14062.0
2005-04-01,14718.0
2005-05-01,16544.0
2005-06-01,16732.0
2005-07-01,16230.0
2005-08-01,18126.0
2005-09-01,16016.0
2005-10-01,15601.0
2005-11-01,15394.0
2005-12-01,20439.0
2006-01-01,14991.0
2006-02-01,14908.0
2006-03-01,17459.0
2006-04-01,14501.0
2006-05-01,18271.0
2006-06-01,17963.0
2006-07-01,17026.0
2006-08-01,18111.0
2006-09-01,15989.0
2006-10-01,16735.0
2006-11-01,15949.0
2006-12-01,20216.0
2007-01-01,16198.0
2007-02-01,15060.0
2007-03-01,16168.0
2007-04-01,16376.0
2007-05-01,18403.0
2007-06-01,19113.0
2007-07-01,19303.0
2007-08-01,20560.0
2007-09-01,16621.0
2007-10-01,18788.0
2007-11-01,17970.0
2007-12-01,22464.0
2008-01-01,16658.0
2008-02-01,16214.0
2008-03-01,16043.0
2008-04-01,16418.0
2008-05-01,17644.0
2008-06-01,17705.0
2008-07-01,18107.0
2008-08-01,17975.0
2008-09-01,17598.0
2008-10-01,17658.0
2008-11-01,15750.0
2008-12-01,22414.0
2009-01-01,16065.0
2009-02-01,15467.0
2009-03-01,16297.0
2009-04-01,16530.0
2009-05-01,18410.0
2009-06-01,20274.0
2009-07-01,21311.0
2009-08-01,20991.0
2009-09-01,18305.0
2009-10-01,17832.0
2009-11-01,18223.0
2009-12-01,23987.0
2010-01-01,15964.0
2010-02-01,16606.0
2010-03-01,19216.0
2010-04-01,16419.0
2010-05-01,19638.0
2010-06-01,19773.0
2010-07-01,21052.0
2010-08-01,22011.0
2010-09-01,19039.0
2010-10-01,17893.0
2010-11-01,19276.0
2010-12-01,25167.0
2011-01-01,16699.0
2011-02-01,16619.0
2011-03-01,17851.0
2011-04-01,18160.0
2011-05-01,22032.0
2011-06-01,21395.0
2011-07-01,22217.0
2011-08-01,24565.0
2011-09-01,21095.0
2011-10-01,20114.0
2011-11-01,19931.0
2011-12-01,26120.0
2012-01-01,18580.0
2012-02-01,18492.0
2012-03-01,19724.0
2012-04-01,20123.0
2012-05-01,22582.0
2012-06-01,22595.0
2012-07-01,23379.0
2012-08-01,24920.0
2012-09-01,20325.0
2012-10-01,22038.0
2012-11-01,20988.0
2012-12-01,26675.0
